0,1,2,3,4,5,6,7
7,WOW,Hillsong United,"Baby, I'm not even in a gown\nI'm just in a t-shirt on the couch\nThe way you want me makes me want you nowThe only thing you have to say is (Wow)\n\nAnd I feel this way with no chemicals in my system\nBabe, it's incredible\nWhen you're touching me, yeah, that says it all\nYou said it all (Yeah)\n\nBaby, I'm not even in a gown\nI'm just in a t-shirt on the couch\nThe way you want me makes me want you now\nThe only thing you have to say is (Wow)\n\nMake your jaw drop-drop\nSaying, my, drop-drop-drop\nMake you say \Oh my god\\nMy, drop-drop\nMake your jaw drop\nMake you say \Oh my god\\nAnd you never felt this type of emotion\nMake your jaw drop-drop\nSaying, my, drop-drop-drop\nMake you say \Oh my god\\nMy, drop-drop\nMake your jaw drop\nMake you say \Oh my god\\nAnd you never felt this type of emotion\nMake your jaw drop-drop\nSaying, my, drop-drop-drop\nMake you say \Oh my god\\nMy, drop-drop\nMake your jaw drop\nMake you say \Oh my god\\nAnd you never felt this type of emotion\n\nAnd you make me feel so fucking pretty\nTake loving me to a new extreme\nIf I can't have you, I don't want no one\nI don't want no one\nAs you make me dance in the middle of the street\nOn the hardwood floor, we should be asleep\nIf I can't have you, I don't want no one\nI don't want no one, want no one, want no one\n\nBaby, I'm not even in a gown\nI'm just in a t-shirt on the couch\nThe way you want me makes me want you now\nThe only thing you have to say is (Wow)\n\nMake your jaw drop-drop\nSaying, my, drop-drop-drop\nMake you say \Oh my god\\nMy, drop-drop\nMake your jaw drop\nMake you say \Oh my god\\nAnd you never felt this type of emotion\nMake your jaw drop-drop\nSaying, my, drop-drop-drop\nMake you say \Oh my god\\nMy, drop-drop\nMake your jaw drop\nMake you say \Oh my god\\nAnd you never felt this type of emotion\n\nNever, never, never, oh\nNever, never, never, oh\nNever, never, never, oh\nNever, never, never, oh",happy,Hip-Hop,\n      ,0
8,We Lied To Each Other,Zara Larsson,sad,Rock,\n      ,1,
9,LOSING YOU,Olivia O'Brien,sad,Rock,\n      ,1,
Submit]],,,,,,,
0,1,2,3,4,5,6,7
,,,,,,,
0,Old Town Road (Remix),Billie Eilish,"Yeah, I'm gonna take my horse to the old town road\nI'm gonna ride 'til I can't no more\nI'm gonna take my horse to the old town roadI'm gonna ride 'til I can't no more\n\nI got the horses in the back\nHorse tack is attached\nHat is matte black\nGot the boots that's black to match\nRidin' on a horse, ha\nYou can whip your Porsche\nI been in the valley\nYou ain't been up off that porch, now\n\nCan't nobody tell me nothin'\nYou can't tell me nothin'\nCan't nobody tell me nothin'\nYou can't tell me nothin'\n\nRidin' on a tractor\nLean all in my bladder\nCheated on my baby\nYou can go and ask her\nMy life is a movie\nBull ridin' and boobies\nCowboy hat from Gucci\nWrangler on my booty\n\nCan't nobody tell me nothin'\nYou can't tell me nothin'\nCan't nobody tell me nothin'\nYou can't tell me nothin'\n\nYeah, I'm gonna take my horse to the old town road\nI'm gonna ride 'til I can't no more\nI'm gonna take my horse to the old town road\nI'm gonna ride 'til I can't no more\n\nHat down, cross town, livin' like a rockstar\nSpent a lot of money on my brand new guitar\nBaby's got a habit, diamond rings and Fendi sports bras\nRidin' down Rodeo in my Maserati sports car\nGot no stress, I've been through all that\nI'm like a Marlboro man so I kick on back\nWish I could roll on back to that old town road\nI wanna ride 'til I can't no more\n\nYeah, I'm gonna take my horse to the old town road\nI'm gonna ride 'til I can't no more\nI'm gonna take my horse to the old town road\nI'm gonna ride 'til I can't no more",happy,Country,\n      ,0
1,ME! (feat. Brendon Urie of Panic! At The Disco),Lil Nas X,"I promise that you'll never find another like me\n\nI know that I'm a handful baby, uhI know I never think before I jump\nAnd you're the kind of guy the ladies want\nAnd there's a lot of cool chicks out there\nI know that I went psycho on the phone\nI never leave well enough alone\nAnd trouble's gonna follow where I go\nAnd there's a lot of cool chicks out there\n\nBut one of these things is not like the others\nLike a rainbow with all of the colors\nBaby doll, when it comes to a lover\nI promise that you'll never find another like...\n\nMe-eh-eh, ooh-ooh-ooh-ooh-ooh\nI'm the only one of me\nBaby, that's the fun of me\nEh-eh-eh, ooh-ooh-ooh-ooh-ooh\nYou're the only one of you\nBaby, that's the fun of you\nAnd I promise that nobody's gonna love you like me-eh-eh\n\nI know I tend to make it about me\nI know you never get just what you see\nBut I will never bore you, ba-a-by\nAnd there's a lot of lame guys out there\nAnd when we had that fight out in the rain\nYou ran after me and called my name\nI never want to see you walk away\nAnd there's a lot of lame guys out there\n\n‘Cause one of these things is not like the others\nLiving in winter, I am your summer\nBaby doll, when it comes to a lover\nI promise that you'll never find another like...\n\nMe-eh-eh, ooh-ooh-ooh-ooh-ooh\nI'm the only one of me\nLet me keep you company\nEh-eh-eh, ooh-ooh-ooh-ooh-ooh\nYou're the only one of you\nBaby, that's the fun of you\nAnd I promise that nobody's gonna love you like me-eh-eh\n\nHey kids, spelling is fun!\nGirl, there ain't no ‘I' in team\nBut you know, there is a ‘me'\nStrike the band up 1, 2, 3\nI promise that you'll never find another like me\nGirl, there ain't no ‘I' in team\nBut you know there is a ‘me'\nAnd you can't spell awesome without me\nI promise that you'll never find another like...\n\nMe-eh-eh, ooh-ooh-ooh-ooh-ooh\nI'm the only one of me (I'm the only one of me)\nBaby, that's the fun of me (Baby, that's the fun of me)\nEh-eh-eh, ooh-ooh-ooh-ooh-ooh\nYou're the only one of you\nBaby, that's the fun of you\nAnd I promise that nobody's gonna love you like me\n\nGirl, there ain't no ‘I' in team\nBut you know there is a ‘me'\nI'm the only one of me\nBaby, that's the fun of me\nStrike the band up, 1, 2, 3\nYou can't spell awesome without me\nYou're the only one of you\nBaby, that's the fun of you\nAnd I promise that nobody's gonna love you like me",happy,Pop,\n      ,1
2,Old Town Road,Taylor Swift,"You know what, I'm done, done, done\n\nYeah, I'm gonna take my horseTo the old town road\nI'm gonna ride till I can't no more\nI'm gonna take my horse to the old town road\nI'm gonna ride till I can't no more\nKio, Kio\n\nI got the horses in the back\nHorse tack is attached\nHat is matte black\nGot the boots that's black to match\nRidin' on a horse, ha\nYou can whip your Porsche\nI been in the valley\nYou ain't been up off the porch, now\n\nCan't nobody tell me nothin'\nYou can't tell me nothin'\nCan't nobody tell me nothin'\nYou can't tell me nothin'\n\nRidin' on a tractor\nLean all in my bladder\nCheated on my baby\nYou can go and ask her\nMy life is a movie\nBull ridin' and boobies\nCowboy hat from Gucci\nWrangler on my booty\n\nCan't nobody tell me nothin'\nYou can't tell me nothin'\nCan't nobody tell me nothin'\nYou can't tell me nothin'\n\nYeah, I'm gonna take my horse\nTo the old town road\nI'm gonna ride till I can't no more\nI'm gonna take my horse to the old town road\nI'm gonna ride till I can't no more\nI got the",happy,Country,\n      ,0
3,SOS,Lil Nas X,"Can you hear me? S.O.S\nHelp me put my mind to rest\nTwo times clear again, I'm actin' lowA pound of weed and a bag of blow\n\nI can feel your love pullin' me up from the underground and\nI don't need my drugs\nWe could be more than just part-time lovers\nI can feel your touch pickin' me up from the underground and\nI don't need my drugs\n\nWe could be more than just part-time lovers\nWe could be more than just part-time lovers\nWe could be more than just part-time lovers\n\nI get robbed of all my sleep\nAs my thoughts begin to bleed\nI'd let go but I don't know how\nYeah, I don't know how but I need to now\n\nI can feel your love pullin' me up from the underground and\nI don't need my drugs\nWe could be more than just part-time lovers\nI can feel your touch pickin' me up from the underground and\nI don't need my drugs\nWe could be more than just part-time lovers\n(Lovers ay)\n\nI can feel your touch pickin' me up from the underground and\n(From the underground yeah)\nI don't need my drugs\nWe could be more than just part-time lovers\n\nWe could be...\nWe could be more than just part-time lovers\n(Part-time lovers)\nYeah! more than, more than lovers\nWe could be more than just part-time lovers\n\nCan you hear me? S.O.S\nHelp me put my mind to rest",sad,Pop,\n      ,1
4,Con Calma,Avicii,"¿Cómo te llamas, baby?\nDesde que te vi supe que eras pa' mí\nDile a tus amigas que andamo' readyEsto lo seguimo' en el after party\n\n¿Cómo te llamas, baby?\nDesde que te vi supe que eras pa' mí\nDile a tus amigas que andamo' ready (¡Sube!)\nEsto lo seguimo' en el after party\n\nCon calma, yo quiero ver como ella lo menea\nMueve ese poom-poom, girl\nEs un asesina, cuando baila quiere que to' el mundo la vea\nI like your poom-poom, girl (Sube, sube)\nCon calma, yo quiero ver como ella lo menea\nMueve ese poom-poom, girl\nTiene adrenalina, en medio 'e la pista, vente hazme lo que sea\nI like your poom-poom, girl (¡Hey!)\n\nYa vi que estás solita, acompáñame\nLa noche es de nosotros, tú lo sabe' (You know)\nQue ganas me dan-dan-dan\nDe guayarte mami, ese ram-pam-pam, yeah\nEsa criminal como lo mueve e' un delito (Oh)\nTengo que arrestarte porque empiezo y no me quito (Eh)\nTienes criminality, pero te doy fatality\nVívete la película flotando en mi gravity\nDaddy pone las regla', tiene' que obedecer\nMami, no tiene pausa, ¿Qué e' lo que vas a hacer?\nÉchale, échale, échale pa'trás\nÉchale, échale, pa'lante y pa'trás (Eh, ey-ey-ey)\n\nCon calma, yo quiero ver como ella lo menea\nMueve ese poom-poom, girl (Girl)\nEs un asesina, cuando baila quiere que to' el mundo la vea\nI like your poom-poom, girl\nCon calma, yo quiero ver como ella lo menea (Con calma)\nMueve ese poom-poom, girl\nTiene adrenalina, en medio 'e la pista, vente hazme lo que sea\nI like your poom-poom, girl\n\nTú tiene' candela y yo tengo la vela\nLlama el 911, se están quemando las suela'\nMe daña cuando la faldita esa me la modela\nMami, estás enferma, pero tu show no lo cancela'\nTe llaman a ti la reina del party\nMucha sandunga tiene ese body\nTírate un paso, no-no-no pare, ¡Wow! Dale, dale (Yo')\nSomos dos bandido' entre la rumba y romance\nY zúmbale DJ, otra ve' pa' que dance\nÉchale, échale, échale pa'trás\nÉchale, échale, pa'lante y pa'trás (Ey, eh, ey)\n\nCon calma, yo quiero ver como ella lo menea (Con calma)\nMueve ese poom-poom, girl (Girl)\nEs un asesina, cuando baila quiere que to' el mundo la vea\nI like your poom-poom, girl\nCon calma, yo quiero ver como ella lo menea (Con calma)\nMueve ese poom-poom, girl\nTiene adrenalina, en medio 'e la pista, vente hazme lo que sea\nI like your poom-poom, girl (¡Snow!)\n\nCome with a nice young lady (What?)\nIntelligent, yes she gentle and irie (¡Fuego!)\nEverywhere me go me never lef' her at all (Dile)\nYes Daddy Snow me are the rom dance man-a (Snow)\nRom between-a dancin' in-a in-a nation-a\nYou never know say daddy, me snow me\nAre the boom shakata (¿Qué-qué-qué-qué?)\nMe never lay-a down flat in-a one cardboard box-a (¡Sube, sube!)\nYes-a Daddy Yankee me-a go reachin' out da top (What?)\n\nCon calma, yo quiero ver como ella lo menea\nMueve ese poom-poom, girl (Girl)\nEs un asesina, cuando baila quiere que to' el mundo la vea\nI like your poom-poom, girl\nCon calma, ya' no say daddy me snow me I go blame\nI like your poom-poom, girl\n‘Tective man a say, say daddy me snow me stab someone down the lane\nI love your poom-poom, girl",happy,Hip-Hop,\n      ,0
5,7 rings,Daddy Yankee,"Yeah, breakfast at Tiffany's and bottles of bubbles\nGirls with tattoos who like getting in trouble\nLashes and diamonds, ATM machinesBuy myself all of my favorite things, yeah\n\nBeen through some bad shit, I should be a sad bitch\nWho would have thought it'd turn me to a savage?\nRather be tied up with cuffs and not strings\nWrite my own checks like I write what I sing, yeah\n\nMy wrist, stop watching, my neck is flossy\nMake big deposits, my gloss is poppin'\nYou like my hair?\nGee, thanks, just bought it\nI see it, I like it, I want it, I got it, yeah\n\nI want it, I got it, I want it, I got it\nI want it, I got it, I want it, I got it\nYou like my hair?\nGee, thanks, just bought it\nI see it, I like it, I want it, I got it (yep)\n\nWearing a ring, but ain't gon' be no \Mrs.\\nBought matching diamonds for six of my bitches\nI'd rather spoil all my friends with my riches\nThink retail therapy my new addiction\n\nWhoever said money can't solve your problems\nMust not have had enough money to solve 'em\nThey say, \Which one?\\nI say, \Nah, I want all of 'em\\nHappiness is the same price as red-bottoms\n\nMy smile is beamin', my skin is gleamin'\nThe way it shine, I know you've seen it (you've seen it)\nI bought a crib just for the closet\nBoth his and hers, I want it, I got it, yeah\n\nI want it, I got it, I want it, I got it\nI want it, I got it, I want it, I got it (baby)\nYou like my hair?\nGee, thanks, just bought it (oh yeah)\nI see it, I like it, I want it, I got it (yep)\n\nYeah, my receipts be lookin' like phone numbers\nIf it ain't money, then wrong number\nBlack card is my business card\nThe way it be settin' the tone for me\nI don't mean to brag, but I be like, \Put it in the bag,\ yeah\nWhen you see them racks, they stacked up like my ass, yeah\n\nShoot, go from the store to the booth\nMake it all back in one loop, give me the loot\nNever mind, I got the juice\nNothing but net when we shoot\nLook at my neck, look at my jet\nAin't got enough money to pay me respect\nAin't no budget when I'm on the set\nIf I like it, then that's what I get, yeah\n\nI want it, I got it, I want it, I got it (yeah)\nI want it, I got it, I want it, I got it (oh yeah, yeah)\nYou like my hair?\nGee, thanks, just bought it\nI see it, I like it, I want it, I got it (yep)",happy,Hip-Hop,\n      ,1
6,Sunflower - Spider-Man: Into the Spider-Verse,Ariana Grande,"Ayy, ayy, ayy, ayy\nOoh, ooh, ooh, ohh\nAyy, ayyOoh, ooh, ooh, ohh\n\nNeedless to say, I keep her in check\nShe was all bad-bad, nevertheless (yeah)\nCallin' it quits now, baby, I'm a wreck (wreck)\nCrash at my place, baby, you're a wreck (wreck)\n\nNeedless to say, I'm keeping her in check\nShe was all bad-bad, nevertheless\nCallin' it quits now, baby, I'm a wreck\nCrash at my place, baby, you're a wreck\n\nThinkin' in a bad way, losin' your grip\nScreamin' at my face, baby don't trip\nSomeone took a big L, don't know how that felt\n\nLookin' at you sideways, party on tilt\nOoh-ooh, some things you just can't refuse\nShe wanna ride me like a cruise and I'm not tryna lose\n\nThen you're left in the dust unless I stuck by ya\nYou're the sunflower, I think your love would be too much\nOr you'll be left in the dust, unless I stuck by ya\nYou're the sunflower, you're the sunflower\n\nEvery time I'm leavin' on ya (ooh)\nYou don't make it easy, no, no\nWish I could be there for ya\nGive me a reason to, go\n\nEvery time I'm walkin' out\nI can hear you tellin' me to turn around\nFightin' for my trust and you won't back down\nEven if we gotta risk it all right now, oh\n\nI know you're scared of the unknown (-known)\nYou don't wanna be alone (alone)\nI know I always come and go (and go)\nBut it's out of my control\n\nAnd you'll be left in the dust, unless I stuck by ya\nYou're the sunflower, I think your love would be too much\nOr you'll be left in the dust, unless I stuck by ya\nYou're the sunflower, you're the sunflower, yeah",sad,Pop,\n      ,0
